identifier,hierarcylevel,type,prefLabel,altLabel,translation,description,parent,related,source,creator,closeMatch,relatedMatch,seeAlso
F9F6DG,8,Q2,Elektrum,Elektron,electrum@en|électrum@fr,"natürlich vorkommende Legierung aus Gold und Silber, teils auch mit geringem Kupferanteil.",G4AG5C,FD5149|F135A8,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).| Der Brockhaus von A-Z: In drei Bänden (Mannheim 2002).",LEIZA,"https://cameo.mfa.org/wiki/Electrum
https://www.wikidata.org/wiki/Q239481
https://d-nb.info/gnd/4841049-4 
http://vocab.getty.edu/page/aat/300010965 ",,
FAG415,7,Q2,Unedelmetallegierung,,,"Legierung, bei dem der Hauptbestandteil durch ein unedles Metall gebildet wird.",F9GB13,BBF566,,LEIZA,,,
BC75G1,8,Q2,Eisenlegierung,,iron alloy@en,"Legierung mit Eisen als Hauptbestandteil, die aufgrund ihrer Härte und Verfügbarkeit seit der Antike weit verbreitet für die Herstellung von Werkzeugen, Waffen und landwirtschaftlichen Geräten genutzt wurde. Die Entdeckung der Eisenherstellung (Verhüttung) stellt einen wichtigen Fortschritt in der technologischen Metallverarbeitung der Menschheitsgeschichte dar und beeinflusste maßgeblich die Entwicklung und Expansion antiker Kulturen. Eisenlegierungen sind äußerst korrosionsanfällig, wobei das Korrosionsgeschehen stark von der Legierungszusammensetzung und der Gefügestruktur abhängig ist. ",FAG415,F71C6B|B19D33,"""Wilhelm P. Bauer, Grundzüge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. Beiträge zur Analyse, Konzeption und Technologie. München 2000, 63–67.""| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).",LEIZA,"http://vocab.getty.edu/page/aat/30001090
http://d-nb.info/gnd/4014081-7",,
A82D86,8,Q2,Buntmetalllegierung,,,"Sammelbezeichnung für farbige Legierungen mit schweren Nichteisenmetallen als Hauptbestandsteile. Wird in der archäologischen Restaurierung häufig als allgemeiner Oberbegriff für kupferhaltige Objektwerkstoffe verwendet, solange keine eindeutige Materialanalyse durchgeführt wurde.",FAG415,GB5BGF,Der Brockhaus von A-Z: In drei Bänden (Mannheim 2002).,LEIZA,"https://www.wikidata.org/wiki/Q355809
http://vocab.getty.edu/page/aat/300011014 ",,
FGB415,9,Q2,Kupferlegierung,Kupferlegierungen,copper alloy@en,"Legierung mit Kupfer als Hauptbestandteil. Parallel zur Verwendung von reinem Kupfer, steht auch die Herstellung von Kupferlegierung am Beginn der historischen Metallverarbeitung der Menschheitsgeschichte. Aufgrund der reichen Verfügbarkeit, guten Verarbeitbarkeit und Verständigkeit wurde Kupfer für vielerlei Gegenstände (z.B. Schmuck, Waffen, Gefäße, etc.) verwendet. ",A82D86,B28FA6|GC4CA7,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).",LEIZA,"https://www.wikidata.org/wiki/Q518350
http://vocab.getty.edu/page/aat/300010942",,
BF7D14,10,Q2,Bronze,Bronzen,bronze@en,"Kupferlegierung mit Zinn als zweiter Hauptbestandteil. Moderne Bronzen weisen in der Regel genormte Zusammensetzungen und gezielte Legierungsbestandteile auf. In historischen Bronzen finden sich, je nach Zeitstellung und Kultur, unter Umständen sehr unterschiedliche Zusammetzungen und andere Bestandteile, wie Zink, Silber, Blei, Antimon, Arsen, etc. Zur eindeutigen metallurgischen Bestimmung wird der Begriff Bronze häufig zusammen mit dem vorangestellten Hauptlegierungszusatz verwendet (Bleibronze, Arsenbronze, usw.). Bronze kann, je nach Legierungszusammensetzung, eine gelb-golde, rötliche bis weißliche Färbung aufweisen. Ebenso hängt die Verarbeitbarkeit maßgeblich von den Legierungszusammensetzten ab. Die Korrosionsanfälligkeit von Bronze entspricht im Wesentlichen der des Kupfers, wobei entsprechend der anderen Bestandteile weitere Korrosionserscheinungen auftreten können.",FGB415,B9C457,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85.",LEIZA,"http://vocab.getty.edu/page/aat/300010957
https://cameo.mfa.org/wiki/Bronze",https://www.wikidata.org/wiki/Q34095,
C1DGG5,11,Q2,Arsenbronze,,,antike Bronzelegierung aus Kupfer und Arsen,BF7D14,,,LEIZA,,,
A6D8BF,11,Q2,Zinnbronze,,,"Legierung aus Kupfer und Zinn, die je nach Gewichtsanteil der beiden Bestandteile unterschiedliche Eigenschaften aufweisen kann. Zinnbronzen mit höherem Kupfergehalt und Zinngehalten bis ca. 10% zeichenen sich durch eine gute Festigkeit und Umformbarkeit (Hämmer-, Walz und Schmiedbarkeit) aus, während Zinnbronzen mit einem höheren Zinngehalt an Härte und Dehnbarkeit aber auch Sprödigkeit zunehmen und daher hauptsächlich als Gusswerkstoff verwendet werden. ",BF7D14,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85/86.",LEIZA,,,
DG663G,11,Q2,Bleibronze,,,Kupferlegierung aus ca. 60% Kupfer und dem Hauptlegierungsbestandteil Blei (bis zu 28%). ,BF7D14,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85.",LEIZA,http://vocab.getty.edu/page/aat/300010959 ,,
A8B271,10,Q2,Messing,,brass@en,"Kupferlegierung mit mindestens 50% Kupfer und Zink als zweiten Hauptbestandteil in unterschiedlichen Massenanteilen. Weitere Legierungsbestandteile (z.B. Blei) können zur Einstellung bestimmter Eigenschaften zugegeben sein. Messing kann, je nach Legierungszusammensetzung, eine hellgelbe, goldene bis bräunliche Färbung aufweisen. Aus diesem Grund wird es unter anderem für Goldimitationen verwendet. Messing lässt sich sehr gut gießen, ebenso gut kalt verformen sowie spanlos und spanabhebend bearbeiten, wodurch es entsprechend für die Herstellung von gegossenen Gegenständen als auch getriebenen Gefäßen verwendet wird. Messing zeigt, ebenso wie Bronze, hauptsächlich Korrosionserscheinungen entsprechend des Hauptbestandteiles Kupfer.",FGB415,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 88/89.",LEIZA,"https://www.wikidata.org/wiki/Q39782
http://vocab.getty.edu/page/aat/300010946
https://cameo.mfa.org/wiki/Brass",,
B93G16,10,Q2,Tombak,,tombac@en,"Kupfer-Zink Legierung, mit hohem Kupferanteil (> 67%) . Ähnlich dem Messing, aber durch den höheren Kupferanteil von deutlich rötlicherer Farbe.",FGB415,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 88/89.",LEIZA,"http://d-nb.info/gnd/4745413-1
http://vocab.getty.edu/page/aat/300196199
https://cameo.mfa.org/wiki/Tombac",,
F387GB,9,Q2,Bleilegierung,,lead alloy@en,Legierung mit Blei als Hauptbestandteil.,A82D86,G992B6,"Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S.202.",LEIZA,"http://d-nb.info/gnd/4145917-9
http://vocab.getty.edu/page/aat/300010932
https://cameo.mfa.org/wiki/Lead_alloys ",,
G6A358,9,Q2,Zinnlegierung,,tin alloy@en,Legierung mit Zinn als Hauptbestandteil.,A82D86,CFC44A|G78BD6," Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 80/81.| Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S. 210",LEIZA,"http://d-nb.info/gnd/4190903-3
https://www.wikidata.org/wiki/Q9346089
http://vocab.getty.edu/page/aat/300010978
https://cameo.mfa.org/wiki/Tin_alloys ",,
F15DFD,9,Q2,Zinklegierung,,zinc alloy@en,Legierung mit Zink als Hauptbestandteil.,A82D86,G8AG1C,,LEIZA,https://www.wikidata.org/wiki/Q204835| http://vocab.getty.edu/page/aat/300011000 | http://d-nb.info/gnd/4190861-2 | https://cameo.mfa.org/wiki/Zinc_alloys ,,
CD3341,5,Q2,organisches Material,Organik| biologisches Material,organic@en,Allgemeiner Sammelbegriff für natürlich von Organismen gebildete Stoffe meist tierisch- oder pflanzlichen Ursprungs. ,B51DAF,," Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 226",LEIZA,"http://vocab.getty.edu/page/aat/300011792
https://cameo.mfa.org/wiki/Organic",https://www.wikidata.org/wiki/Q1783121,
F2A45F,6,Q2,Materialien tierischen Ursprungs,,animal material@en,Überbegriff für organische Materialien die aus verschiedenen Teilen eines Tieres hergestellt werden.,CD3341,,,LEIZA,http://vocab.getty.edu/page/aat/300011793,,
BA652F,7,Q2,Kollagenhaltiges Material,,collagenous material@en,Kollagenhaltiges tierisches Material,F2A45F,,,LEIZA,http://vocab.getty.edu/page/aat/300192949,,
FCF757,8,Q2,Tierhaut,,animal skin@en,"organisches Material aus der vom Körper abgetrennten, äußersten Gewebehülle von Tieren, die durch verschiedene Verfahren haltbar und weiter verarbeitbar gemacht wurde.",BA652F,,,LEIZA,,,
D73F9B,9,Q2,Leder,,leather@en,"Durch chemische Bearbeitung (Gerbung) haltbar gemachte Tierhaut. In der Antike und im Mittelalter wurde Leder vor allem für Schuhe, Kleidung und Behältnisse verwendet.",FCF757,,DIN EN 16484,LEIZA,"https://cameo.mfa.org/wiki/Leather 
http://vocab.getty.edu/page/aat/300011845",,
B9C731,9,Q2,Pergament,,parchment@en,"Von Haaren befreite und unter Spannung getrocknete sehr dünne Tierhaut, die aus einem Geflecht von Collagenfasern besteht und in den meisten Fällen von Schaf, Kalb oder Ziege gewonnen wurde. Durch mehrere Verarbeitungsschritte wie Kalken,  enthaaren, Schaben und das Trocknen unter Spannung entsteht ein nahezu durchsichtiges, festes Material, welches zum Schreiben, Buchbinden oder für andere Zwecke verwendet wird. ",FCF757,,"Julia Becker, Tino Licht, Bernd Schneidmüller, Pergament. In: Thomas Meier, Michael Ott, Rebecca Sauer (Hrsg), Materiale Textkulturen. Konzepte - Materialien - Praktiken. Materiale Textkulturen Bd. 1, Berlin 2015, S. 337.",LEIZA,,,
A82C8C,9,Q2,Rohhaut,,rawhide@en,"Von Fleisch und Haaren befreite und getrocknete, ungegerbte Tierhaut",FCF757,,,,,,
GG2137,8,Q2,Tierfell,Fell,fur@en,"organisches Material aus der vom Körper abgetrennten, mit dichten Haaren besetzten Haut von Säugetieren.",BA652F,,,,,,
AB4988,7,Q2,Fasern tierischen Ursprungs,Tierfaser| tierische Faser,,"Natürliche Fasern, die aus den Haarfollikeln oder den Sekreten von Tieren gewonnen werden und basierend auf ihren jeweiligen Eigenschaften im kulturellen Kontext für verschiedene Anwendungen wie z.B. Kleidung, Fäden oder Dekor verarbeitet wurden.",F2A45F,,"DIN EN ISO 6938 |Antoinette Rast-Eicher, Fibres. Microscopy of archaeological textiles and furs (Budapest 2016) S. 127/128.",LEIZA,"https://cameo.mfa.org/wiki/Animal_fibers
http://vocab.getty.edu/page/aat/300386673  ",,
G899F5,8,Q2,Haar,,hair@en,"Natürliche, faserartige Gebilde aus Keratin, die aus der Haut von Säugetieren wachsen.",AB4988,,,LEIZA,http://vocab.getty.edu/page/aat/300011814,,
AA992C,9,Q2,Menschenhaar,menschliches Haar,human hair@en,natürliches Material aus den Haaren des menschlichen Kopfes.,G899F5,,"Antoinette Rast-Eicher, Fibres. Microscopy of archaeological textiles and furs (Budapest 2016) S. 273/274.",LEIZA,http://vocab.getty.edu/page/aat/300011820,,
F8DFCG,9,Q2,Tierhaar,tierisches Haar|Fell,,"natürliches Material aus dem Fell, Pelz oder der Behaarung von Tieren.",G899F5,,,LEIZA,,,
DF96G1,10,Q2,Wolle,,wool@en,"tierische Faser (Stapelfaser) aus dem charakteristischen Haarkleid des Schafes. Die Bezeichnung Wolle wird im allgemeinem Sprachgebrauch auch für die Haare anderer Tierarten verwendet, allerdings sollte zur Differenzierung deren Namen hinzugefügt werden. ",F8DFCG,,DIN EN ISO 6938| CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,"https://cameo.mfa.org/wiki/Wool
 http://vocab.getty.edu/page/aat/300014074 ",,
CG49C6,11,Q2,Alpakawolle,Alpaka,,tierische Fasern aus dem Wollhaar des Alpakas,F8DFCG,,DIN EN ISO 6938,LEIZA,,,
AA47GG,11,Q2,Mohairwolle,Mohair,,tierische Fasern aus der Wolle/den Haaren der Angoraziege,F8DFCG,,DIN EN ISO 6938,LEIZA,,,
B576DA,11,Q2,Kaschmirwolle,Kaschmir,,tierische Fasern aus der Wolle/den Haaren der Kaschmirziege,F8DFCG,,DIN EN ISO 6938,LEIZA,,,
A9AC1A,11,Q2,Kaninchenhaar,Kaninchen,,tierische Fasern aus den Haaren des Haus- oder Wildkaninchens,F8DFCG,,ISO 6938,LEIZA,,,
BG71D3,11,Q2,Schweineborsten,,,tierische Fasern aus den borstigen Haaren des Hausschweines,F8DFCG,," Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 267.",LEIZA,,,
D51GAA,11,Q2,Ziegenhaar,,,tierische Fasern aus den Haaren der Hausziege,F8DFCG,,DIN EN ISO 6938,LEIZA,http://vocab.getty.edu/page/aat/300011818,,
G43GG2,11,Q2,Pferdehaar,Rosshaar,,"tierische Fasern aus dem Fell, der Mähne oder dem Schweif des Pferdes",F8DFCG,,DIN EN ISO 6938,LEIZA,"https://cameo.mfa.org/wiki/Horsehair
 http://vocab.getty.edu/page/aat/300011819 ",,
G593G4,11,Q2,Wildschweinborsten,,,"tierische Fasern aus den Haaren des Wildschweines, mit außergewöhnlich kräftigen und harten Erscheinungsform im Vergleich zu Haaren anderer Tierarten.",F8DFCG,,,LEIZA,,,
F6F797,8,Q2,Seide,,,"feine, glänzende Naturfaser, die aus den Kokons von Seidenspinnern, wie dem domestizierten Bombyx mori, ausgeschieden und zu Geweben verarbeitet wird. ",AB4988,,CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,,
G16647,9,Q2,Tussahseide,,,"Seide, die aus den Kokons des Tussahspinners (Antheraea mit diversen Unterarten) hergestellt wird.",F6F797,,CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,,
